,LSTM_Acc_AVG,Val_Acc_AVG,Timestep,Neurons,Dropout,Learning,difference
0,0.520318182,0.514168175,2,2,0.1,0.01,0.006150006
1,0.529272727,0.5223,2,2,0.1,0.001,0.006972727
2,0.517909091,0.512745448,2,2,0.2,0.01,0.005163643
3,0.528545455,0.520268179,2,2,0.2,0.001,0.008277275
4,0.520772727,0.515681811,2,2,0.3,0.01,0.005090917
5,0.528954545,0.522422728,2,2,0.3,0.001,0.006531818
6,0.518727273,0.510699992,2,2,0.4,0.01,0.00802728
7,0.523272727,0.518827267,2,2,0.4,0.001,0.00444546
8,0.526590909,0.515872723,2,8,0.1,0.01,0.010718186
9,0.530409091,0.52519091,2,8,0.1,0.001,0.005218181
10,0.531090909,0.520427269,2,8,0.2,0.01,0.01066364
11,0.532227273,0.524440909,2,8,0.2,0.001,0.007786364
12,0.530818182,0.521663634,2,8,0.3,0.01,0.009154548
13,0.531318182,0.524263636,2,8,0.3,0.001,0.007054546
14,0.518045455,0.51183636,2,8,0.4,0.01,0.006209094
15,0.529863636,0.524036363,2,8,0.4,0.001,0.005827273
16,0.5235,0.520609089,2,32,0.1,0.01,0.002890911
17,0.526954545,0.525259093,2,32,0.1,0.001,0.001695452
18,0.525954545,0.518890905,2,32,0.2,0.01,0.00706364
19,0.5325,0.525859094,2,32,0.2,0.001,0.006640906
20,0.526590909,0.516745449,2,32,0.3,0.01,0.00984546
21,0.527045455,0.526059092,2,32,0.3,0.001,0.000986363
22,0.527045455,0.518418178,2,32,0.4,0.01,0.008627277
23,0.528090909,0.52387273,2,32,0.4,0.001,0.00421818
24,0.528272727,0.521754543,2,65,0.1,0.01,0.006518184
25,0.526,0.52626364,2,65,0.1,0.001,-0.00026364
26,0.527772727,0.518849995,2,65,0.2,0.01,0.008922732
27,0.530727273,0.526518183,2,65,0.2,0.001,0.00420909
28,0.527,0.518440904,2,65,0.3,0.01,0.008559096
29,0.535136364,0.526368184,2,65,0.3,0.001,0.008768179
30,0.515136364,0.511204537,2,65,0.4,0.01,0.003931827
31,0.529545455,0.524309092,2,65,0.4,0.001,0.005236362
32,0.529318182,0.518981815,2,128,0.1,0.01,0.010336367
33,0.530090909,0.527545456,2,128,0.1,0.001,0.002545453
34,0.513863636,0.50929999,2,128,0.2,0.01,0.004563646
35,0.526227273,0.527290912,2,128,0.2,0.001,-0.001063639
36,0.523136364,0.5121409,2,128,0.3,0.01,0.010995464
37,0.526681818,0.526813639,2,128,0.3,0.001,-0.000131821
38,0.512272727,0.509304536,2,128,0.4,0.01,0.002968192
39,0.524590909,0.525186366,2,128,0.4,0.001,-0.000595457
40,0.5265,0.516899993,6,2,0.1,0.01,0.009600007
41,0.523045455,0.515968173,6,2,0.1,0.001,0.007077281
42,0.520727273,0.515790902,6,2,0.2,0.01,0.00493637
43,0.521681818,0.51610454,6,2,0.2,0.001,0.005577278
44,0.5125,0.511349993,6,2,0.3,0.01,0.001150007
45,0.519,0.516513626,6,2,0.3,0.001,0.002486374
46,0.521545455,0.514036354,6,2,0.4,0.01,0.0075091
47,0.522318182,0.512918176,6,2,0.4,0.001,0.009400005
48,0.522045455,0.52107727,6,8,0.1,0.01,0.000968185
49,0.531727273,0.523436363,6,8,0.1,0.001,0.008290909
